name,type,location,price,link
Princeton on Back Cove,1 to 2 beds,Oakdale,"$1,340+",https://rentalsapi.zillowgroup.com/princeton-on-back-cove-portland-me-04101-skenmt/pad
30 Quebec St #1,2 beds,East End,"$2,100",https://rentalsapi.zillowgroup.com/30-quebec-st-portland-me-04101-1j6mdfa/1/pad
98 Bolton St,3 beds,Libbytown,"$2,800",https://rentalsapi.zillowgroup.com/98-bolton-st-portland-me-04102-1j6mq0h/pad
Princeton Pines,Studio to 3 beds,Riverton,"$1,050+",https://rentalsapi.zillowgroup.com/princeton-pines-portland-me-04103-skxzrj/pad
The Ambassador,Studio,Downtown,"$1,100",https://rentalsapi.zillowgroup.com/the-ambassador-portland-me-04101-w20350/pad
Danforth Heights,2 beds,Downtown,"$1,975",https://rentalsapi.zillowgroup.com/danforth-heights-portland-me-04102-skmedu/pad
Baxter Place,2 beds,Downtown,"$1,847",https://rentalsapi.zillowgroup.com/baxter-place-portland-me-04101-sm3wyt/pad
89 Anderson,2 beds,East Bayside-India Street,"$2,365",https://rentalsapi.zillowgroup.com/89-anderson-portland-me-04101-1j6mg2a/pad
Hiawatha Apartments,1 bed,Downtown,"$1,980+",https://rentalsapi.zillowgroup.com/hiawatha-apartments-portland-me-04101-1j6mfeu/pad
271 Brackett St #2,2 beds,West End,"$2,145",https://rentalsapi.zillowgroup.com/271-brackett-st-portland-me-04102-wdcg2j/2/pad
13 Lewis St #2,1 bed,West End,"$3,100",https://rentalsapi.zillowgroup.com/13-lewis-st-portland-me-04102-tss0t3/2/pad
1056 Forest Ave,2 to 3 beds,North Deering,"$2,500+",https://rentalsapi.zillowgroup.com/1056-forest-ave-portland-me-04103-1j6mqb9/pad
528 Deering Ave #6,1 to 3 beds,Ocean Avenue,$525+,https://rentalsapi.zillowgroup.com/528-deering-ave-portland-me-04103-1j6mxqz/6/pad
37 Smith St #3,2 beds,East Bayside-India Street,"$1,800",https://rentalsapi.zillowgroup.com/37-smith-st-portland-me-04101-1j6mdx2/3/pad
175B Pine St #2I,2 beds,West End,"$2,500",https://rentalsapi.zillowgroup.com/175b-pine-st-portland-me-04102-1x3nz5h/2i/pad
17 Sherman St #0,1 bed,Parkside,"$2,258",https://rentalsapi.zillowgroup.com/17-sherman-st-portland-me-04101-1yqbfy8/0/pad
31 Wellstone Dr #31,2 beds,East Deering,"$2,695",https://rentalsapi.zillowgroup.com/31-wellstone-dr-portland-me-04103-1j6mvm2/31/pad
112 Coyle St #2,4 beds,Ocean Avenue,$612,https://rentalsapi.zillowgroup.com/112-coyle-st-portland-me-04103-tb39nv/2/pad-for-sublet
5 India St,1 bed,Downtown,$10k,https://rentalsapi.zillowgroup.com/5-india-st-portland-me-04101-1wzfyuq/pad
46 Turner St #S,2 beds,East End,"$4,000",https://rentalsapi.zillowgroup.com/46-turner-st-portland-me-04101-tr8qxb/s/pad
(Undisclosed Address),4 beds,Deering Center,"$5,500",https://rentalsapi.zillowgroup.com/portland-me-04103-1j6mr42/pad
290 Baxter Blvd #G3,2 beds,Oakdale,"$3,500",https://rentalsapi.zillowgroup.com/290-baxter-blvd-portland-me-04101-spdbqa/g3/pad
50 Roberts St,3 beds,Oakdale,"$3,300",https://rentalsapi.zillowgroup.com/50-roberts-st-portland-me-04102-1j6mnew/pad-for-sublet
The Linden,1 bed,West Bayside,"$1,785+",https://rentalsapi.zillowgroup.com/the-linden-portland-me-04101-sm1dkg/pad
21 Dow St,1 bed,West End,"$3,500",https://rentalsapi.zillowgroup.com/21-dow-st-portland-me-04102-1j6mkbx/pad
40 Free Street,1 to 2 beds,Downtown,"$1,765+",https://rentalsapi.zillowgroup.com/40-free-street-portland-me-04101-1wzkmy3/pad
169 Neal St #5,2 beds,West End,"$1,450",https://rentalsapi.zillowgroup.com/169-neal-st-portland-me-04102-st267j/5/pad
202 Park Ave #3,2 beds,Valley Street,"$2,450",https://rentalsapi.zillowgroup.com/202-park-ave-portland-me-04102-usb2ug/3/pad
104 Cumberland Ave #1,2 beds,East End,"$2,400",https://rentalsapi.zillowgroup.com/104-cumberland-ave-portland-me-04101-skyge6/1/pad
