name,type,location,price,link
Liberty Commons,1 to 3 beds,South Portland,"$1,885+",https://rentalsapi.zillowgroup.com/liberty-commons-south-portland-me-04106-1znc3n1/pad
Redbank Village,2 to 3 beds,South Portland,"$2,170+",https://rentalsapi.zillowgroup.com/redbank-village-south-portland-me-04106-sm058a/pad
Latitude at South Portland,2 beds,Portland,"$2,455+",https://rentalsapi.zillowgroup.com/latitude-at-south-portland-portland-me-04106-1uavwpe/pad
148 Breakwater Dr,1 to 3 beds,South Portland,"$1,375+",https://rentalsapi.zillowgroup.com/148-breakwater-dr-south-portland-me-04106-thvvup/building
565 Main St #1,2 beds,South Portland,"$2,200",https://rentalsapi.zillowgroup.com/565-main-st-south-portland-me-04106-1j6ncyu/1/pad
199 Broadway #2,1 bed,South Portland,"$1,450",https://rentalsapi.zillowgroup.com/199-broadway-south-portland-me-04106-1zung1e/2/pad
139 Broadway #9,2 beds,South Portland,"$2,600",https://rentalsapi.zillowgroup.com/139-broadway-south-portland-me-04106-ssps0v/9/pad
77 Gary L Maietta Pkwy #312,1 bed,South Portland,"$1,400",https://rentalsapi.zillowgroup.com/77-gary-l-maietta-pkwy-south-portland-me-04106-skz6k8/312/pad
10 Lombard St,2 beds,South Portland,Call,https://rentalsapi.zillowgroup.com/10-lombard-street-south-portland-me-04106-1j6n603/pad
11 Henry St,4 beds,South Portland,$14.8k,https://rentalsapi.zillowgroup.com/11-henry-st-south-portland-me-04106-1j6n6d3/pad
(Undisclosed Address),4 beds,South Portland,"$3,500",https://rentalsapi.zillowgroup.com/south-portland-me-04106-1j6n99e/pad
25 Graffam Rd,4 beds,South Portland,$15k,https://rentalsapi.zillowgroup.com/25-graffam-rd-south-portland-me-04106-1j6n9x5/pad
146 Townhouse Dr,1 bed,Portland,Call,https://rentalsapi.zillowgroup.com/townhouse-apartments-portland-me-04106-1xw9pun/pad
23 Graffam Rd,3 beds,South Portland,$11.8k,https://rentalsapi.zillowgroup.com/23-graffam-rd-south-portland-me-04106-1j6n9kp/pad
10 Burnham St,1 to 2 beds,South Portland,Call,https://rentalsapi.zillowgroup.com/10-burnham-street-south-portland-me-04106-w207j3/pad
105 Margaret St,1 bed,South Portland,Call,https://rentalsapi.zillowgroup.com/105-margaret-street-south-portland-me-04106-1j6n5sv/pad
11 Hoyt St,1 to 2 beds,South Portland,Call,https://rentalsapi.zillowgroup.com/11-hoyt-street-south-portland-me-04106-1j6n6d8/pad
2 Oak St #1,1 bed,South Portland,"$1,700",https://rentalsapi.zillowgroup.com/2-oak-st-south-portland-me-04106-us9aex/1/pad
137 Tolman St #2,3 beds,Westbrook,"$3,000",https://rentalsapi.zillowgroup.com/137-tolman-st-westbrook-me-04092-1j6kwbz/2/pad
69 Myrtle St #2,4 beds,Westbrook,"$2,500",https://rentalsapi.zillowgroup.com/69-myrtle-st-westbrook-me-04092-1j6m0u9/2/pad
300 Main St #1,3 beds,Westbrook,"$2,200",https://rentalsapi.zillowgroup.com/300-main-st-westbrook-me-04092-1j6kyd7/1/pad
140 Blue Spruce Farm Rd,3 beds,Westbrook,"$3,150",https://rentalsapi.zillowgroup.com/140-blue-spruce-farm-rd-westbrook-me-04092-1n6hu8h/pad
596 Preble St #1,2 beds,Cape Elizabeth,"$1,800",https://rentalsapi.zillowgroup.com/596-preble-st-cape-elizabeth-me-04107-1j6njh6/1/pad
7 Ram Island Farm Rd,3 beds,Cape Elizabeth,"$5,500",https://rentalsapi.zillowgroup.com/7-ram-island-farm-rd-cape-elizabeth-me-04107-1j6nk23/pad
3 King St,1 to 2 beds,Scarborough,"$6,000+",https://rentalsapi.zillowgroup.com/1-bed-8000-scarborough-me-04074-1j6juu4/building
11 Otis Lilley Dr,4 beds,Scarborough,"$4,800",https://rentalsapi.zillowgroup.com/11-otis-lilley-dr-scarborough-me-04074-1xrn7q8/pad
Princeton on Back Cove,1 to 2 beds,Oakdale,"$1,340+",https://rentalsapi.zillowgroup.com/princeton-on-back-cove-portland-me-04101-skenmt/pad
Princeton Pines,Studio to 3 beds,Riverton,"$1,050+",https://rentalsapi.zillowgroup.com/princeton-pines-portland-me-04103-skxzrj/pad
The Ambassador,Studio,Downtown,"$1,100",https://rentalsapi.zillowgroup.com/the-ambassador-portland-me-04101-w20350/pad
Danforth Heights,2 beds,Downtown,"$1,975",https://rentalsapi.zillowgroup.com/danforth-heights-portland-me-04102-skmedu/pad
